;Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;Prediction Window
2;35;42.16707417;3221.676748;55.01043258;11.53378397;0.664018463;38.88454527;2618.518519;50.79407197;11.91428013;1.358032414;3;0.7;100;1000;70;40;10
3;98;63.36498249;8050.891668;73.3464959;16.62691892;9.613709686;27.74433682;1441.276387;37.76725119;8.870218561;-0.08733541;15;0.2;300;500;30;50;30
0;80;38.83605517;2772.145695;50.20288747;10.88958254;0.534739948;25.52016577;1119.831722;32.34284521;8.039562429;-4.314645993;30;0.1;30;30;100;100;1
1;0;44.02764286;3473.385268;55.25160076;11.97369812;2.791412531;23.58566244;1057.034192;31.80320164;7.236695463;0.171261027;20;0.7;70;170;100;30;5
2;60;46.44669202;3613.193304;56.51649636;11.58530885;10.37408825;26.11224312;1242.00058;34.40352217;7.936990223;1.60222333;20;0.2;200;120;50;20;10
3;22;67.10208973;9790.714787;75.8051025;16.676965;13.92023418;41.45139281;2986.915293;53.62267055;12.77192927;0.754898862;2;0.1;100;120;60;70;30
0;64;42.99471875;3659.078181;57.0609119;11.02345526;5.120570045;37.45544423;2388.37033;48.22514338;11.33318433;1.808734307;5;0.3;70;300;9;60;1
1;94;44.76937127;3589.591415;56.7690893;11.99452593;1.11044037;28.43618007;1498.005709;38.28793157;8.908946851;0.076558696;15;0.3;80;1000;5;30;5
2;8;43.05480594;3897.965601;55.97318507;11.6824726;2.382916083;41.21826546;2852.105093;52.97053106;12.64990909;2.499802411;5;0.2;400;500;7;20;10
3;11;65.49703144;8019.799543;71.94467223;16.69538192;11.04979778;38.74846706;2625.779178;50.74162449;12.18378628;-0.280799671;4;0.1;50;300;6;10;30
0;98;43.48481419;3471.081131;55.49117936;11.02632918;4.338416827;29.51913132;1480.477225;38.18722507;9.283409619;0.353615002;15;0.2;300;500;30;50;1
1;60;45.2366202;3572.359351;56.91113874;12.03319294;1.910431224;27.44274669;1328.498477;35.72577799;8.691546135;-3.765923863;20;0.2;200;120;50;20;5
2;29;43.35339743;3583.991989;55.8793001;11.68706945;4.766143186;41.97209386;3025.026643;54.39526131;13.01219244;0.42293386;1;0.1;50;1000;5;70;10
3;56;67.22961667;8482.508781;78.36973454;16.91384516;14.28125918;36.68383646;2360.852961;47.9501928;11.12915362;1.036982794;1;0.6;80;300;80;10;30
0;60;43.67597556;3485.793637;54.19641734;11.40577739;6.601830168;25.94211412;1357.405146;35.4781834;7.57050849;1.929216865;20;0.2;200;120;50;20;1
1;90;47.3687493;4078.187268;58.7809976;12.07153202;10.41646366;41.64605018;3580.794817;57.49336766;11.68152605;5.931870776;2;0.7;40;500;25;60;5
2;90;46.93859945;4030.99183;57.35315627;11.89823355;10.16557512;39.49397855;3184.320914;55.00993649;11.32013612;5.177348686;2;0.7;40;500;25;60;10
3;13;64.70776946;7723.332945;72.70071264;16.91591254;10.25407199;34.32001898;2162.76731;46.37721164;10.83504247;0.130345109;10;0.2;80;700;90;20;30
0;18;43.42496991;3761.221684;58.49965268;11.50102102;3.54207651;41.89141465;2923.816706;53.542797;12.87676679;0.201509052;4;0.1;200;70;6;40;1
1;8;44.67075262;3843.350638;56.31329516;12.0775124;-0.027342061;40.62575175;2837.691245;53.16140283;12.68683473;-1.785699449;5;0.2;400;500;7;20;5
2;21;45.86301411;4257.195786;58.93086109;12.23618076;-0.413116227;37.99741468;2620.738405;50.25647383;11.4967395;1.312455251;5;0.2;40;200;35;90;10
3;77;67.92025224;9664.095158;77.81587581;16.93351268;13.74215423;37.9075722;2527.388997;50.0009628;11.68040512;1.691967886;4;0.4;30;500;40;40;30
0;12;43.73004186;3535.510753;54.54705013;11.50507601;5.305376245;40.59111354;2718.093058;51.61538952;12.38194359;0.338444073;1;0.1;30;85;70;20;1
1;13;45.70027951;3840.658954;58.73163469;12.14997631;1.211745111;33.64740113;2064.970805;44.91564105;10.41159699;-0.058547268;10;0.2;80;700;90;20;5
2;15;50.73192605;6488.040217;67.06554557;12.26870292;9.209077897;24.32586494;1270.992795;33.98002015;7.499353712;-1.756845345;20;0.4;300;200;90;20;10
3;33;65.3390208;8005.005656;74.52235777;17.02203639;9.844318931;38.38477083;2565.190457;50.32820873;12.10638614;-1.382310819;5;0.7;400;500;8;10;30
0;6;45.24180978;3888.81079;55.17154942;11.63550627;10.41993499;22.57551755;982.8805856;30.96319774;7.209757045;0.709656743;40;0.6;40;100;90;80;1
1;88;47.28557712;3965.165313;59.09463571;12.18056491;7.480205651;13.62305086;350.9954098;18.42798552;4.318311174;0.073499862;30;0.6;400;100;30;30;5
2;11;42.87209761;3120.279988;52.42471412;12.36814046;-1.522361549;41.59688279;2975.073197;53.87647173;12.79650578;-0.20840787;4;0.1;50;300;6;10;10
3;36;68.6919957;8798.945471;76.42338182;17.18742459;13.06656156;43.30912914;3130.215119;55.15774216;13.40028899;0.103410319;5;0.2;300;70;80;70;30
0;25;45.86457382;3692.597479;55.90206356;11.65678891;8.557781067;39.10018874;2487.92736;49.07975974;11.5121722;4.563502128;3;0.3;70;70;30;70;1
1;55;49.21632193;4713.484463;62.93459068;12.32733634;9.157944924;28.43248922;1529.824793;38.48386017;8.804401146;-0.323306119;15;0.3;60;200;8;50;5
2;42;46.32624382;3916.79294;59.48083468;12.54684979;3.433890434;40.66363985;2935.776867;53.2389856;11.91671793;2.410225271;2;0.4;90;170;8;30;10
3;95;66.98975955;9431.789211;77.82834701;17.18760018;6.151876028;25.57806988;1755.194641;30.70557007;8.506636104;-6.63512354;30;0.4;200;500;50;60;30
0;13;42.45836715;3217.585073;54.13706055;11.66290002;0.049945842;35.58872948;2262.62521;47.40083231;10.92839941;0.548577461;10;0.2;80;700;90;20;1
1;67;47.68833796;3799.29185;54.7996886;12.33513355;6.971194475;22.95449049;980.9641812;30.92952838;7.358673492;-1.063010094;40;0.1;300;120;30;100;5
2;85;48.81202601;4379.235281;60.79370668;12.57860276;5.427657568;39.83226435;2779.628959;51.73912928;11.89185729;2.281339777;5;0.3;70;85;8;50;10
3;84;69.38088266;9483.738671;80.84917787;17.21921628;12.42248909;14.84375037;446.5050285;20.4777829;4.63545518;-0.556917792;30;0.1;30;100;35;30;30
0;24;46.89153092;3915.750175;55.06121045;11.81159235;9.087079048;43.77316354;3693.462087;58.48380657;12.18253827;6.007317467;3;0.5;90;120;100;90;1
1;96;44.87785202;3607.127548;56.07270071;12.34441956;5.618282586;36.06764613;2218.18035;45.97707866;11.27621105;0.210731426;5;0.3;300;20;60;70;5
2;37;51.14982161;5108.205299;62.15651304;12.58063975;11.53973992;37.78446918;2654.433887;50.12631333;10.70105895;5.153332832;5;0.7;40;120;100;20;10
3;88;71.44554175;11404.20155;83.69492322;17.22503101;12.71377564;13.70503309;343.4786245;17.92637331;4.770125698;-2.31218096;30;0.6;400;100;30;30;30
0;5;44.92443839;3877.446084;55.37282912;11.82023631;6.989437579;31.43394185;1766.637601;41.13216208;9.621034987;0.380585251;10;0.4;200;150;100;90;1
1;35;47.97347825;4015.268889;61.08874308;12.37430875;3.933765188;38.5573056;2620.715167;50.8377424;11.77024276;1.38022282;3;0.7;100;1000;70;40;5
2;33;46.40240354;4048.258975;58.09181013;12.8297513;-2.070067032;37.01165845;2407.692044;48.6879024;11.5948308;-0.308642506;5;0.7;400;500;8;10;10
3;67;70.33798866;10162.18272;83.23977155;17.24995372;14.9226148;21.40182321;827.8041936;28.7199392;7.291192989;-2.439088682;40;0.1;300;120;30;100;30
0;77;44.31100552;4376.499843;59.78358281;11.83431745;-2.131483377;38.61511541;2574.985888;50.48972825;11.6447724;2.055423279;4;0.4;30;500;40;40;1
1;77;48.4420396;5146.140095;64.1613266;12.60773671;-1.884208899;37.30236923;2518.268465;49.71801239;11.34200826;0.725986217;4;0.4;30;500;40;40;5
2;27;51.7318692;4526.285881;63.65288696;12.97736962;12.14977365;31.15297941;1742.895505;41.12691595;9.223299332;2.949040724;15;0.2;90;100;25;100;10
3;81;70.0346273;9325.059211;80.92024895;17.45098984;14.20339339;31.39352326;1796.431837;41.71206272;9.672863896;0.671070039;15;0.7;400;170;70;100;30
0;21;44.75962636;3810.672691;55.20400681;11.9073203;5.81416982;40.38214691;2752.538405;51.82682998;12.05550094;1.558317266;5;0.2;40;200;35;90;1
1;15;48.25344578;4182.488826;60.24108666;12.66935295;3.293277566;26.56676856;1373.866201;35.53435373;8.244173344;-2.804291844;20;0.4;300;200;90;20;5
2;49;49.07298938;4692.946815;63.25138042;13.01821541;6.984838648;38.22198334;2430.674205;48.76964766;11.84648518;-0.119435135;5;0.2;300;70;100;20;10
3;48;69.52444007;8791.03224;77.49827953;17.49733903;11.93713665;42.16051342;3079.346282;54.9611556;13.09401151;0.074527009;5;0.2;90;50;25;50;30
0;97;45.23608452;3579.452245;56.9722627;12.08843825;3.490738528;39.25870651;2583.969968;50.45257287;12.24356019;-1.195172256;4;0.1;70;150;40;50;1
1;82;49.63644037;4501.494376;60.33218919;12.70693794;7.304820747;39.43877174;2730.521962;50.60171296;11.55420529;4.319512575;2;0.4;50;100;25;100;5
2;2;48.67877755;4421.789974;60.90352592;13.03293276;5.408349285;39.9474812;2722.884556;50.21732065;12.18761755;1.774098861;3;0.3;80;50;9;100;10
3;35;70.47855973;9246.410475;80.70705032;17.54359001;14.41526478;38.22907478;2519.585288;49.73993665;11.88248353;0.267054533;3;0.7;100;1000;70;40;30
0;82;48.76292485;4319.637813;57.75136511;12.13731332;9.112867303;39.95721789;2999.736341;53.30608075;11.13733138;6.189922026;2;0.4;50;100;25;100;1
1;66;50.75081362;4345.197632;62.90040596;13.16221806;3.253222614;32.85053358;1852.57727;42.71074527;10.2133324;-0.006040274;10;0.7;70;700;25;10;5
2;0;52.10108362;5490.058176;64.67598362;13.1668656;7.080722142;22.84250371;978.1861652;30.46965543;7.058925972;1.258452658;20;0.7;70;170;100;30;10
3;1;69.84196952;9113.582036;79.10399921;17.59311134;13.25490679;40.1757049;2843.304628;52.69204648;12.27794241;1.256421067;4;0.6;400;70;80;30;30
0;67;48.93624979;3987.123438;58.14285209;12.29420481;10.72692872;23.77834252;1039.101636;31.85734447;7.513202182;-0.025570386;40;0.1;300;120;30;100;1
1;92;47.26577459;3731.676982;57.05788727;13.29757416;3.028839352;22.49502211;974.9862942;31.01446541;7.100139592;-0.036089066;40;0.2;80;120;25;70;5
2;18;49.28351996;4529.06798;59.64999166;13.25713039;-0.160683567;42.87491062;3174.845563;55.45485264;12.99640703;0.700316787;4;0.1;200;70;6;40;10
3;68;71.06508579;8895.340507;83.09758351;17.65194041;14.46155532;39.9442152;2708.788613;51.43662012;12.38858;0.684392583;2;0.6;400;700;6;10;30
0;66;49.02003007;3968.520356;59.24455617;12.35232047;4.615356167;34.32452935;2091.926791;45.09713532;10.41558872;0.641790069;10;0.7;70;700;25;10;1
1;23;49.06484319;4504.086585;58.2665455;13.34355349;10.11190583;32.50365591;1752.262776;40.62815988;10.06783763;0.706523101;15;0.3;60;20;7;30;5
2;82;52.99790392;4498.858147;63.02180742;13.27794454;9.756730302;48.79552529;4795.762658;64.34393082;13.68812823;6.123287775;2;0.4;50;100;25;100;10
3;86;71.00784317;9627.120546;79.51949951;17.73672579;13.12785822;41.32561969;2866.892901;52.8182575;12.80846529;0.600334728;1;0.5;300;100;100;40;30
0;4;49.66353424;3958.180371;59.88426106;12.53818437;7.324103736;48.38032869;4008.207485;61.10888417;14.28094222;2.816655048;5;0.2;30;50;5;70;1
1;47;49.05151716;4498.622118;63.03165158;13.64203896;4.211438784;6.954480443;95.7777938;9.171900144;2.230229416;-0.220255622;30;0.4;100;1000;25;30;5
2;95;51.46802187;4391.339239;63.61197437;13.37757857;7.597873658;11.92765923;306.9886375;16.34358666;3.567512184;-0.117797716;30;0.4;200;500;50;60;10
3;2;71.21052873;8958.484064;80.30954429;17.84294653;16.48422752;43.70772295;3496.37852;57.46105956;13.17131744;3.218556828;3;0.3;80;50;9;100;30
0;11;46.9737755;4329.930064;59.95966253;12.54670307;3.787390253;39.75124433;2694.803235;51.67398591;12.4637657;-0.240347555;4;0.1;50;300;6;10;1
