Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;
62;59.65500356;4521.625869;67.24303584;14.39455682;-12.08637442;31.0340456;1614.294892;40.17828881;10.59686273;-6.280471952;20;0.4;300;10;80;10;10
62;43.02515503;2269.975124;47.64425594;10.42013952;-0.168106804;34.54263558;1761.78926;41.97367341;11.92293047;-2.009082531;20;0.4;300;10;80;10;30
62;68.44694387;5295.544606;72.77049269;16.01998697;16.01998697;23.2927141;967.2482206;31.10061447;7.645062736;-0.566188048;20;0.4;300;10;80;10;1
62;41.75012889;2506.391967;50.06387887;9.599136771;9.300812852;33.08230741;1553.580512;39.41548568;12.5108179;-10.81105284;20;0.4;300;10;80;10;5
62;114.3307136;14115.68681;118.8094559;26.88248984;26.88248984;22.06599067;872.6303331;29.54031708;7.877610214;-2.103383769;20;0.4;300;10;80;10;10
62;167.0346343;29401.89914;171.4698199;39.65390305;39.65390305;31.16345409;1438.725354;37.93053326;11.41190293;-5.202999499;20;0.4;300;10;80;10;30
62;45.52863948;3461.866839;58.83763115;13.27455177;11.94455289;17.51730119;582.3537759;24.13200729;5.43166396;-0.528032713;20;0.4;300;10;80;10;1
62;46.42480189;3673.255914;60.60739158;13.50200368;12.02405069;37.97027568;2810.77098;53.01670472;10.29551995;2.264717198;20;0.4;300;10;80;10;5
62;54.16875692;4846.116921;69.61405692;15.76139964;15.73113792;20.9463487;757.4462629;27.52174164;6.924358259;-1.984294089;20;0.4;300;10;80;10;10
62;55.3452182;4486.541457;66.98165015;16.47702238;16.47702238;28.57463103;1599.589637;39.99487013;9.289102551;-2.495101473;20;0.4;300;10;80;10;30
62;19.81926264;496.953482;22.29245348;7.925941739;6.960931369;23.81969159;920.3605438;30.33744458;6.725925068;1.408101373;20;0.4;300;10;80;10;1
62;31.91169393;1345.597671;36.68238912;13.808162;-13.78247045;38.54167949;2043.664062;45.20690282;12.18760715;-7.612495146;20;0.4;300;10;80;10;5
62;12.83022135;274.5441355;16.56937342;5.131490946;2.006314446;45.88745942;3866.364372;62.18009627;11.73843104;-0.3606765;20;0.4;300;10;80;10;10
62;44.11442713;2157.024611;46.44377904;17.67156683;17.19072709;33.68927839;1709.276722;41.34339999;9.884245032;2.328019714;20;0.4;300;10;80;10;30
63;90.78713684;11634.66267;107.8640935;17.84801235;17.84801235;40.89082614;2375.823882;48.74242385;13.88644662;-1.672050462;2;0.1;100;30;90;90;1
63;43.93090098;4009.256783;63.31869221;8.307102417;7.098847615;36.5021656;2211.771935;47.02947942;11.58322085;1.766685355;2;0.1;100;30;90;90;5
