Hyper_id,MAE_test,MSE_test,RMSE_test,MAPE_test,MPE_test,MAE_train,MSE_train,RMSE_train,MAPE_train,MPE_train,Window,Dropout Rate,Number of Neurons (each layer),Number of Epochs Filter Size,Batche Size,Prediction Window
0,74.43702036539713,8941.61944409414,94.56013665437534,14.419926147022613,14.419926147022613,18.31866922793181,590.975077101936,24.309978961363502,6.129660074856179,-1.5359713939440158,20,0.7,70,170,100,30,1
0,72.30594736735026,8516.071649724501,92.2825641696442,14.009613899212606,13.990232132811247,18.449098694115357,598.9113785312618,24.472665946546606,6.088501186914361,2.402951261021953,20,0.7,70,170,100,30,5
0,73.06075541178386,8633.755974130212,92.91800672706131,14.153658773322492,14.048188660929592,17.56431843489078,644.0175726102633,25.37750130746255,5.829223223435194,-1.7809187683997216,20,0.7,70,170,100,30,10
0,78.5630864461263,10120.11856360815,100.59880001077622,15.200286423549173,15.189475368525457,18.43141199806727,648.5506184523808,25.46665699404578,5.777919771567596,0.5314464784755645,20,0.7,70,170,100,30,30
0,20.80334299723307,497.15013985495085,22.296863901790108,4.980599071185095,4.2685536221408205,19.16962648474652,699.9915192593796,26.457352839227504,6.325713145397261,0.6112953221512339,20,0.7,70,170,100,30,1
0,32.688951110839845,1182.3416359120574,34.38519501052826,7.796242919434566,7.49192784822247,19.32731273048802,711.3099235438684,26.67039413926739,6.376361552660358,0.747845311591977,20,0.7,70,170,100,30,5
0,20.468570556640625,560.2267455012848,23.669109520666062,4.876717628764939,3.938712206566999,18.971979598829858,647.8829563961621,25.453545065396334,6.392901401253814,0.3798345009969136,20,0.7,70,170,100,30,10
0,19.365219116210938,548.9289144495937,23.4292320499327,4.6969059147024,-2.761435407250592,21.47775291920815,811.5472298257366,28.487668030671387,7.0766098541492575,2.4793641572714207,20,0.7,70,170,100,30,30
0,25.954609476725256,1030.6807487752606,32.104216993648365,6.428741646360275,-3.1811728758621713,21.82983071368674,789.719180041959,28.1019426382227,7.3572730923571665,-1.491589569722208,20,0.7,70,170,100,30,1
0,30.99788564046224,1485.25535539557,38.53901082533866,7.416683115065238,1.405774912202395,20.142478367320276,782.2510476675244,27.968751271151245,6.560198036675659,0.5749004881123406,20,0.7,70,170,100,30,5
0,98.88914744059244,14174.58334904603,119.05705921551241,22.772886341402465,22.34053569921219,23.41520435138711,917.4860588581274,30.29003233504592,7.890254159986005,4.173858205890045,20,0.7,70,170,100,30,10
0,159.94761260986328,29122.85825201449,170.65420666369315,38.13880051087592,37.221002681494674,22.6717916395714,931.9112416358258,30.527221321892792,7.494212084842992,1.7375684643977625,20,0.7,70,170,100,30,30
0,45.76466751098632,3752.2767609887155,61.255830424447886,13.465996757717742,12.680254490252427,27.293421047044834,1409.1523469631086,37.538678012992264,7.378244198018841,4.34597168563381,20,0.7,70,170,100,30,1
0,41.39744944254557,3416.056600799117,58.44704099267231,12.17576402387655,9.250645342611673,30.61971736707185,1630.1683916771315,40.375343858314466,8.759825860016928,1.1945053002733403,20,0.7,70,170,100,30,5
0,39.42567576090495,2987.726891627321,54.66010328957787,11.664864182054146,6.27692386186329,20.196514939944656,734.5300319853013,27.102214521793258,6.373252523533239,0.7875223305550514,20,0.7,70,170,100,30,10
0,44.84428334554037,3405.1538361150015,58.35369599361296,13.130057507962906,13.130057507962906,20.626536591921496,841.297756168818,29.00513327272981,6.209203054815695,1.6358024818369459,20,0.7,70,170,100,30,30
0,21.92063512166341,644.082655149069,25.378783563225976,9.419610156618917,-7.535155990065652,27.382238331670344,1228.8503336726333,35.05496161276793,7.269411576165939,0.5519063608865985,20,0.7,70,170,100,30,1
0,42.74798075358072,2767.2010977155346,52.60419277695966,18.47018662517125,-18.181517582609004,29.38970502886856,1562.5302166407164,39.5288529638885,8.398590676888782,-4.063897226800059,20,0.7,70,170,100,30,5
0,28.661268920898433,1093.9979193799197,33.075639364642974,12.36620109376514,-11.200749720646733,34.06450121556047,1947.0142057036041,44.12498391731836,8.80899855084649,2.731967022353832,20,0.7,70,170,100,30,10
0,20.22382191975912,573.7713469910592,23.953524730007047,8.070734823829572,0.2249089903948684,33.83634496985344,1951.1013335831951,44.171272718625566,8.616203946153732,4.017884195919921,20,0.7,70,170,100,30,30
1,65.04787139892578,8481.022198602843,92.09246548226865,12.282834846981117,12.267631696382649,32.96894381226612,1697.9665333462551,41.206389472341,11.616217841180108,-4.860686514452211,4,0.6,400,70,80,30,1
1,58.709173583984374,7043.947374886631,83.92822752141636,11.064022434991756,11.064022434991756,28.104344138452564,1320.1386344829061,36.333712093356304,9.697978205783285,-2.6897444673682216,4,0.6,400,70,80,30,5
1,62.26016133626302,7010.065999829482,83.72613689780201,11.897223737247058,11.897223737247058,28.524378088352766,1331.5647611678748,36.49061195935024,9.97267556374985,-3.393888907389988,4,0.6,400,70,80,30,10
1,68.98670603434245,7495.345971253793,86.57566616118984,13.400335621850251,13.400335621850251,28.166817138125698,1408.8480747714848,37.534625011733965,9.456277677582873,-2.3389933027233303,4,0.6,400,70,80,30,30
1,58.381017761230474,3715.4414518508534,60.95442110176138,13.91817722030732,13.91817722030732,33.114181345450774,1564.5584153119096,39.55449930553931,11.443818334025197,-1.4705617205160042,4,0.6,400,70,80,30,1
1,68.46997141520183,5142.342634370839,71.71012923130762,16.31547931218696,16.31547931218696,35.57890103227001,1790.9575820027069,42.319706780679695,12.154619673912034,-1.3408262886593854,4,0.6,400,70,80,30,5
1,32.58323689778646,1296.912304599453,36.012668668115296,7.7423656689733775,7.7423656689733775,36.371789060670245,2293.127288497246,47.88660865521013,11.995724015738496,2.362863935416868,4,0.6,400,70,80,30,10
1,22.86199869791666,885.5716329036094,29.75855562529219,5.603231704350926,-3.2337076155955833,42.30744389271575,2764.884609794487,52.582170074983466,14.205959940005133,0.27624377970090863,4,0.6,400,70,80,30,30
1,168.74273813883462,30140.596239172555,173.6104727231988,40.31828514114114,-40.31828514114114,41.3520438891499,2819.140025318032,53.09557444192531,12.903471437150746,1.0919718920305377,4,0.6,400,70,80,30,1
1,136.02262095133463,21411.751053701853,146.32754714578473,32.86256881922975,-32.86256881922975,44.74135094982083,3212.939552952111,56.682797681061146,14.084366580754674,0.9264929059851582,4,0.6,400,70,80,30,5
1,98.47865997314452,12598.521629659112,112.24313622515682,24.341652146528205,-17.189761625755402,32.23694686726278,1831.2375716473828,42.79296170689034,10.410128099041636,1.8982697026677657,4,0.6,400,70,80,30,10
1,167.1020273335775,29983.547184672738,173.15757905639805,39.480950338749636,39.480950338749636,42.26668862293764,3054.6370226501917,55.2687707720209,14.287941785468641,-2.3834638202067517,4,0.6,400,70,80,30,30
1,79.86070027669271,9369.703535716706,96.79722896713886,23.674506820654308,23.674506820654308,36.18416163340337,2361.789254598921,48.59824332832331,9.62932438576708,8.025757231201363,4,0.6,400,70,80,30,1
1,69.10350784301758,7506.583532073749,86.64054208090892,20.27511871371992,19.07669215465099,35.98271865198168,2185.189050530085,46.746005717388144,9.978419352894889,4.520793433964443,4,0.6,400,70,80,30,5
