Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;
8;34.86528158;1400.981907;37.42969285;14.03194739;9.028885371;46.29713602;3700.689261;60.83329073;12.24555329;4.360156709;4;0.1;200;70;6;40;5
8;24.16505737;786.2176671;28.03957323;10.16416503;-5.890445535;57.67860554;5466.19908;73.93374791;14.54319949;5.472577409;4;0.1;200;70;6;40;10
8;32.68090185;1771.36002;42.08752809;12.5890151;8.822779029;52.26991546;4578.307306;67.66319018;13.71513643;8.978404567;4;0.1;200;70;6;40;30
9;194.6129878;40972.02387;202.4154734;39.75042782;39.75042782;62.29698219;6061.277773;77.85420844;19.06932683;1.779072367;3;0.7;20;30;10;80;1
9;176.2614619;34263.74179;185.1046779;35.87034169;35.87034169;60.16050516;5136.483624;71.66926554;19.15005172;-1.765022978;3;0.7;20;30;10;80;5
9;176.6693827;33894.65658;184.1050151;36.07129002;36.07129002;51.36669823;4846.094517;69.61389601;14.78575176;6.421881883;3;0.7;20;30;10;80;10
9;220.4186681;51472.85985;226.8763096;45.22314665;45.22314665;66.95881141;7993.748838;89.40776721;19.12631732;7.665199665;3;0.7;20;30;10;80;30
9;142.2993939;20436.50029;142.9562881;34.14328045;34.14328045;53.07740563;5049.185157;71.05761857;16.04717733;5.735095452;3;0.7;20;30;10;80;1
9;141.5454928;20268.16685;142.3663122;33.94941236;33.94941236;54.13482614;4998.912878;70.70299059;16.66754899;4.351967467;3;0.7;20;30;10;80;5
9;163.6686108;26997.57366;164.309384;39.28097321;39.28097321;56.52646093;6006.033939;77.49860604;16.82917344;7.604476633;3;0.7;20;30;10;80;10
9;166.4679873;27889.904;167.0027066;39.96738375;39.96738375;55.61476657;6289.62482;79.30715491;16.39582279;8.48857693;3;0.7;20;30;10;80;30
9;158.6609288;26014.61224;161.2904592;37.53917283;37.53917283;62.29980658;7922.579749;89.00887455;18.0029169;7.667218779;3;0.7;20;30;10;80;1
9;140.1849754;20478.00113;143.1013666;33.11471577;33.11471577;59.1975503;6443.521223;80.27154678;17.97763253;3.47164429;3;0.7;20;30;10;80;5
9;161.6019246;27132.13168;164.7183404;38.19640881;38.19640881;59.33273119;6785.543172;82.37440848;17.59715356;8.032909064;3;0.7;20;30;10;80;10
9;155.6796536;25126.46639;158.5133004;36.80783993;36.80783993;48.14819023;4080.727465;63.88057189;15.31316955;4.421651923;3;0.7;20;30;10;80;30
9;56.59286448;5023.799183;70.87876398;16.63254601;15.56381699;98.21371727;23542.73925;153.4364339;22.04710311;15.94472785;3;0.7;20;30;10;80;1
9;62.47544388;6084.18645;78.00119518;18.38956287;16.61275942;105.8547732;27117.06028;164.6725851;23.83074242;19.04129052;3;0.7;20;30;10;80;5
9;83.03855774;9225.475749;96.04934018;25.09150027;25.09150027;100.4807274;22834.99341;151.112519;23.27813635;21.94902473;3;0.7;20;30;10;80;10
9;53.43402232;3875.457431;62.25317205;16.80168767;5.420742847;71.99717163;10356.81164;101.7684216;20.59525891;-2.331715097;3;0.7;20;30;10;80;30
9;72.90227081;5704.47382;75.52796714;30.72967504;-30.72967504;93.56424285;14182.46181;119.0901415;24.12560405;-0.607909811;3;0.7;20;30;10;80;1
9;34.58127116;1543.841018;39.29174236;14.91454025;-13.73470352;123.6591392;29482.66568;171.7051708;27.48383708;15.15696721;3;0.7;20;30;10;80;5
9;30.13895498;1237.191988;35.17374004;13.05617891;-12.17648648;119.1542685;26055.46893;161.4170652;26.87572065;14.51865206;3;0.7;20;30;10;80;10
9;64.24277527;4646.144106;68.16262983;27.28512103;-27.28512103;107.0285997;19596.98539;139.9892331;27.1252005;0.356529559;3;0.7;20;30;10;80;30
