Date;Price;Open;High;Low;Vol.;Change %;Price_5D_MA;Open_5D_MA;High_5D_MA;Low_5D_MA;Vol._5D_MA;Change %_5D_MA;Price_10D_MA;Open_10D_MA;High_10D_MA;Low_10D_MA;Vol._10D_MA;Change %_10D_MA;Price_50D_MA;Open_50D_MA;High_50D_MA;Low_50D_MA;Vol._50D_MA;Change %_50D_MA;Price_100D_MA;Open_100D_MA;High_100D_MA;Low_100D_MA;Vol._100D_MA;Change %_100D_MA;Price_200D_MA;Open_200D_MA;High_200D_MA;Low_200D_MA;Vol._200D_MA;Change %_200D_MA;RSI EWMA;RSI SMA;Position_10D_MA_50D_MA;Position_50D_MA_200D_MA;Previous_Position_10D_MA_50D_MA;Previous_Position_50D_MA_200D_MA;GoldenCross_10D_MA_50D_MA;DeathCross_10D_MA_50D_MA;GoldenCross_50D_MA_200D_MA;DeathCross_50D_MA_200D_MA;K;D;Momentum;Price_Orig;Price_D1;Price_Orig_D1;Price_D5;Price_Orig_D5;Price_D10;Price_Orig_D10;Price_D30;Price_Orig_D30
13/02/2016;0.400325965;0.39003769;0.399796541;0.403161222;0.053592869;0.830043682;0.309768546;0.30871627;0.31086557;0.314695111;0.105082057;0.795633127;0.233149048;0.232989367;0.222069121;0.247750459;0.188998835;0.787486369;0.28389531;0.283458421;0.275857526;0.298152297;0.534763136;0.47487351;0.290547808;0.289458263;0.28677715;0.292746048;0.810067277;0.342540566;0.19567916;0.195461418;0.199265157;0.189843081;0.968692559;0.380618536;0.540329539;0.582877715;0;1;0;1;0;0;0;0;1;0.680273051;0.539290241;393;0.415911174;408.3;0.429357237;421.5;0.428949781;421.1;0.423754711;416
12/02/2016;0.390139554;0.385046348;0.390132248;0.397365648;0.036929234;0.819608478;0.3044273;0.306092482;0.307025397;0.311377098;0.107832227;0.774633197;0.229798403;0.231564095;0.219397655;0.245371962;0.187595719;0.762540894;0.285969331;0.285869068;0.277958999;0.300364508;0.534924926;0.463082068;0.290454764;0.289945997;0.287774491;0.292518103;0.845974519;0.322034343;0.194488933;0.194382786;0.198147332;0.1887402;0.968641888;0.374453063;0.488349994;0.525421846;0;1;0;1;0;0;0;0;0.603636364;0.527718473;0.530180608;383;0.400325965;393;0.422634206;414.9;0.448507691;440.3;0.419476418;411.8
11/02/2016;0.385046348;0.388000407;0.389623601;0.392307692;0.052828816;0.802782721;0.301816024;0.30505741;0.305682514;0.309435446;0.111554549;0.762186218;0.22838834;0.230623414;0.218174405;0.244340326;0.187861669;0.756270447;0.288395106;0.287996496;0.280327077;0.302650111;0.538843399;0.470499957;0.290942316;0.290446713;0.289906062;0.292313739;0.912398776;0.32111537;0.193415538;0.193342108;0.197139982;0.187611295;0.97130821;0.372712808;0.460752778;0.488052556;0;1;1;1;0;1;0;0;0.430107527;0.439776627;0.524794043;378;0.390139554;383;0.414892533;407.3;0.448711419;440.5;0.417642864;410
10/02/2016;0.388000407;0.381277376;0.39318413;0.393150685;0.122503184;0.82389581;0.300818991;0.306405411;0.306507091;0.307985352;0.144403085;0.744454489;0.227466912;0.228428494;0.217611991;0.243050779;0.197325826;0.772491821;0.290538814;0.289797894;0.282296816;0.304827374;0.53953002;0.480619158;0.291450338;0.29015741;0.290633178;0.292109374;0.951758976;0.352097884;0.192381087;0.192221848;0.19608868;0.186567895;0.970396139;0.377734686;0.474287321;0.409668547;0;1;1;1;0;1;0;0;0.534050179;0.376987119;0.517031052;380.9;0.385046348;378;0.407354589;399.9;0.446877865;438.7;0.428338596;420.5
09/02/2016;0.380971784;0.37740654;0.384130214;0.390200211;0.033036202;0.816534541;0.302148368;0.310136485;0.307944211;0.310787229;0.122951763;0.725749252;0.225316915;0.228813318;0.216543404;0.241546309;0.180066579;0.739163032;0.292353997;0.291879217;0.284087773;0.306938236;0.533543792;0.470457079;0.291154457;0.289339574;0.290384287;0.29119956;0.961124118;0.374494565;0.191267531;0.1911726;0.194970855;0.185493515;0.966578372;0.373781822;0.437566186;0.387651148;0;1;1;1;0;1;0;0;0.349673203;0.303598877;0.508951204;374;0.388000407;380.9;0.415911174;408.3;0.427829276;420;0.424264032;416.5
08/02/2016;0.37740654;0.378934501;0.383214649;0.388935722;0.061415317;0.805613978;0.30589911;0.309775413;0.311784385;0.310369405;0.159100503;0.758431263;0.225735746;0.229825262;0.216951154;0.242076456;0.181368818;0.731529444;0.294474476;0.294253638;0.28623002;0.3088464;0.547011819;0.461881485;0.290348693;0.28832887;0.289600282;0.290085381;0.96528975;0.384235677;0.190228212;0.190021732;0.193929056;0.184324956;0.969199265;0.382309069;0.418680083;0.363974017;0;1;1;1;0;1;0;0;0.252396166;0.324257652;0.52265526;370.5;0.380971784;374;0.400325965;393;0.429357237;421.5;0.420596924;412.9
07/02/2016;0.378934501;0.380666191;0.384333672;0.389041096;0.047516827;0.80512862;0.305543027;0.309992056;0.311148283;0.309607491;0.154393236;0.753980947;0.226726978;0.230737436;0.218160344;0.240801238;0.222930404;0.732960742;0.296867067;0.297230721;0.288927433;0.311037643;0.558656749;0.445244833;0.289334509;0.287516598;0.288866054;0.28886902;0.971829289;0.375571076;0.189084231;0.188870864;0.192761338;0.183166311;0.967200397;0.38201074;0.424460563;0.320881629;0;1;1;1;0;1;0;0;0.300319489;0.496711286;0.520754119;372;0.37740654;370.5;0.390139554;383;0.422634206;414.9;0.419068962;411.4
06/02/2016;0.380768055;0.393704798;0.39318413;0.386090622;0.146261597;0.782154991;0.305756677;0.309438413;0.310441502;0.309779536;0.151041867;0.760030596;0.227620484;0.233730509;0.220649026;0.241718249;0.233907724;0.707538168;0.299870249;0.300188044;0.291725215;0.3139593;0.561845195;0.446273904;0.288519441;0.28642615;0.288122938;0.287780387;0.984341241;0.387911569;0.18794025;0.187672248;0.191580553;0.181992795;0.966863175;0.385168059;0.431090697;0.434738374;0;1;1;1;0;1;0;0;0.403560831;0.663830463;0.523368188;373.8;0.378934501;372;0.385046348;378;0.414892533;407.3;0.420393195;412.7
05/02/2016;0.393704798;0.397066314;0.399389624;0.40516333;0.061488084;0.802135577;0.305186944;0.30438341;0.308674551;0.309017622;0.131394144;0.794311939;0.23058022;0.23441464;0.222125362;0.24505674;0.204873307;0.73643675;0.302846884;0.302463667;0.294237573;0.316950853;0.556719216;0.467670011;0.287423378;0.284905457;0.286960263;0.286505075;0.987091561;0.405555847;0.186747589;0.186370788;0.190340373;0.180863891;0.962180513;0.389369531;0.479352819;0.518933938;0;1;1;1;0;1;0;0;0.745042493;0.594928302;0.538102028;386.5;0.380768055;373.8;0.388000407;380.9;0.407354589;399.9;0.411429154;403.9
04/02/2016;0.397066314;0.375878578;0.400712106;0.388408851;0.135855921;0.854554279;0.30020178;0.301302265;0.305446921;0.303635068;0.128771889;0.779013977;0.231250349;0.234585673;0.222884621;0.245486589;0.201590198;0.742775354;0.305146559;0.304610855;0.296304544;0.319110642;0.557062526;0.47212932;0.28589745;0.283152952;0.285456252;0.284752257;0.991776642;0.416058394;0.185455134;0.18496526;0.189008723;0.179488387;0.961292904;0.396231106;0.49241818;0.404601164;0;1;1;1;0;1;0;0;0.804347826;0.440606936;0.531606464;389.8;0.393704798;386.5;0.380971784;374;0.415911174;408.3;0.404807986;397.4
