Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Kernels;Number of Epochs Filter Size;Batche Size;Prediction Window;
0;89.97852905;10546.24746;102.6949242;13.9776814;-4.758296591;36.67830092;2621.747194;51.20299986;11.24699475;-3.235352429;4;0.1;70;150;7;50;30
0;156.1979359;28695.0994;169.3962792;23.81369894;23.13590048;39.53228197;4222.233114;64.97871277;12.11734916;-6.599471679;4;0.1;70;150;7;50;30
0;141.9675325;23863.71368;154.4788454;23.63320239;8.260659739;33.73251883;2115.969571;45.99966925;10.77787545;-3.991188501;4;0.1;70;150;7;50;30
0;130.4791035;22954.27939;151.5066975;21.17981893;12.18269187;35.49621724;2197.737586;46.88003398;12.06757053;-6.799852231;4;0.1;70;150;7;50;30
0;88.8098233;16814.5152;129.6707955;13.84010409;13.28685767;30.93387119;1577.493656;39.71767436;10.48430704;-3.262433933;4;0.1;70;150;7;50;30
0;67.23267853;9399.703794;96.95206957;11.73456404;11.04814871;33.6007848;1860.669986;43.13548407;11.61430546;-5.007211106;4;0.1;70;150;7;50;30
0;27.02771291;1458.365075;38.18854639;5.469295172;0.354472481;35.9843593;2175.783288;46.64529223;12.16282562;-3.903772213;4;0.1;70;150;7;50;30
0;25.48965841;1001.015647;31.63883132;5.616717855;4.042031689;39.12502143;2643.191521;51.41197838;13.27338914;-1.668143345;4;0.1;70;150;7;50;30
0;30.49771983;1292.432438;35.95041638;6.851783065;6.747023614;35.69874316;2247.155529;47.40417206;12.15748392;-2.429363346;4;0.1;70;150;7;50;30
0;38.60552561;1756.851978;41.91481812;8.863004504;8.863004504;38.12659865;2450.735785;49.50490667;12.70685294;0.443695582;4;0.1;70;150;7;50;30
0;20.43532461;641.218771;25.3222979;4.70998101;4.645382449;40.1448341;2704.132286;52.00127196;13.17253646;0.197023868;4;0.1;70;150;7;50;30
0;25.30015472;774.681076;27.83309318;5.975453382;5.975453382;37.47180904;2332.45509;48.29549762;12.57878703;-1.643516243;4;0.1;70;150;7;50;30
0;42.15057353;2229.353049;47.21602534;10.10565579;8.082181696;40.33362425;2795.051998;52.86825132;13.48019435;-1.263984263;4;0.1;70;150;7;50;30
0;23.52025635;739.0192987;27.18490939;5.844705357;-1.732039312;41.41542292;2761.349301;52.54854233;13.82440655;1.340466418;4;0.1;70;150;7;50;30
0;56.11836426;4538.514578;67.36849841;13.54010439;9.515978616;37.68787133;2295.579371;47.91220482;12.63678752;0.893324097;4;0.1;70;150;7;50;30
0;61.76482432;4639.35417;68.11280474;15.67496792;-14.37574363;40.01020289;2553.621474;50.53336991;13.45727351;0.74803832;4;0.1;70;150;7;50;30
0;27.62450175;1100.489282;33.17362329;6.766118294;0.794674531;38.64488702;2510.974112;50.10962095;12.79419414;1.698192774;4;0.1;70;150;7;50;30
0;58.70643545;4187.836143;64.71349274;14.6261154;-5.931122483;39.49014331;2626.387362;51.24829131;13.20141999;-1.430337535;4;0.1;70;150;7;50;30
0;161.2096444;28430.91654;168.6146985;38.0667062;38.0667062;38.7412598;2586.745242;50.86005547;12.60265926;0.321289682;4;0.1;70;150;7;50;30
0;163.6218021;31018.21607;176.1198912;38.34173575;34.27053792;44.60279387;3309.126892;57.52501101;14.27913874;0.97963293;4;0.1;70;150;7;50;30
0;136.5759332;21720.50398;147.3787772;32.91442002;16.0238902;48.24627966;3956.435354;62.90020154;15.24712469;-1.225322069;4;0.1;70;150;7;50;30
0;143.337433;27491.07435;165.8043255;34.01812233;26.54084628;42.40225399;3024.380596;54.99436877;13.28884348;2.100576263;4;0.1;70;150;7;50;30
0;94.33387482;14884.49952;122.0020472;22.36601231;21.53990684;41.25690522;2693.842339;51.90223829;13.09193113;1.033068822;4;0.1;70;150;7;50;30
0;103.6419238;15974.25309;126.3892918;26.32202557;25.67212563;42.39572662;2855.246789;53.43450934;12.74933437;4.632160988;4;0.1;70;150;7;50;30
0;52.35612569;4415.147753;66.44657819;14.89032562;10.31635309;45.1520742;3275.330576;57.23050389;13.35850071;2.82605655;4;0.1;70;150;7;50;30
0;50.1536938;4063.336386;63.74430473;14.83162675;11.5947262;34.99623135;1896.639454;43.55042427;10.27796476;3.720031189;4;0.1;70;150;7;50;30
0;31.93597839;1553.037746;39.4085999;10.66100568;-0.506093225;44.33661756;3256.353072;57.06446418;12.5299062;2.689290596;4;0.1;70;150;7;50;30
0;24.9899204;1672.902412;40.90112971;7.602861684;6.129172372;40.32888695;2646.534599;51.44448074;10.9581116;6.083675625;4;0.1;70;150;7;50;30
0;28.31966654;1102.813825;33.20864082;11.36897089;-5.053607458;38.50891579;2510.162292;50.10151986;10.95976752;3.084701378;4;0.1;70;150;7;50;30
0;20.36265467;585.8149258;24.2036139;8.559588923;-7.457497291;48.98135447;4195.210667;64.77044594;13.09158597;4.27503045;4;0.1;70;150;7;50;30
