Hyper_id,MAE_test,MSE_test,RMSE_test,MAPE_test,MPE_test,MAE_train,MSE_train,RMSE_train,MAPE_train,MPE_train,Window,Dropout Rate,Number of Kernels,Number of Epochs Filter Size,Batche Size,Prediction Window
0,110.87543731689452,15963.050880872051,126.34496777027589,16.92800975541213,16.669342730834035,34.05025139333813,1928.9649481675438,43.91998347184962,10.584724185252545,-3.7714384373482868,2,0.4,90,170,7,30,5
0,73.9986824544271,7139.8454289106885,84.49760605431783,12.109850741247818,-10.963764344990357,35.565080439994524,2614.325618809456,51.130476418760814,10.410248113525956,-3.7749307011951054,2,0.4,90,170,7,30,5
0,129.0705137125651,22062.07960179727,148.53309261507104,20.040928677248328,16.621222106254887,24.763897264552412,1023.8657063496843,31.99790159291206,8.16488104035612,-1.6897300813698983,2,0.4,90,170,7,30,5
0,129.31284423828126,29192.198758456565,170.85724672502647,20.03434351942555,19.82539986607369,28.96836039012446,1361.0037774252808,36.8917846874515,10.019221471548589,-5.732227485828241,2,0.4,90,170,7,30,5
0,81.36131917317708,16780.82645972333,129.54082931540668,12.744579066219702,12.322810273713431,29.725809162730453,1526.2776787846615,39.0676039549991,9.967928370153581,-3.6844711279345437,2,0.4,90,170,7,30,5
0,44.660930175781246,4862.500044494575,69.73162872394833,8.384711696071282,8.138478012631339,32.239035506627545,1744.4031087495187,41.766052108734414,11.166868539055336,-4.571547042272847,2,0.4,90,170,7,30,5
0,24.903385009765632,1138.7914016757375,33.745983489531575,5.3009851581745355,4.905495806346606,33.606374349554216,2006.8455574310703,44.79782982948025,11.391419088033667,-2.1350877963998935,2,0.4,90,170,7,30,5
0,38.68880788167318,1862.8657313112292,43.160928295290745,8.683230146056639,8.683230146056639,34.168672531319466,1999.8235766556209,44.71938703354084,11.470892777525957,-1.2138642543183071,2,0.4,90,170,7,30,5
0,29.014961853027348,1354.6316426795593,36.80532084739324,6.538888288014529,6.455949657097823,35.243495580441774,2063.6952376607483,45.42791253910693,11.914706821456063,-1.5202161468605582,2,0.4,90,170,7,30,5
0,31.914112345377607,1452.5686970108538,38.112579248994074,7.3679063321195475,7.354680051644767,35.06378205750278,2062.085847482436,45.41019541339187,11.6677886210319,0.5950781036015268,2,0.4,90,170,7,30,5
0,49.52573150634765,2575.2193609166743,50.7466192067676,11.732032062745011,11.732032062745011,34.28080566917004,1976.6649746629555,44.45970056875052,11.360959445112766,0.52531103156627,2,0.4,90,170,7,30,5
0,49.54807261149089,2777.024132828471,52.69747748069609,11.844918202181844,10.540839791828068,35.50965889008973,2063.9187608765224,45.43037266935549,11.66209179546666,1.2463183088234009,2,0.4,90,170,7,30,5
