Hyper_id,MAE_test,MSE_test,RMSE_test,MAPE_test,MPE_test,MAE_train,MSE_train,RMSE_train,MAPE_train,MPE_train,Window,Dropout Rate,Number of Kernels,Number of Epochs Filter Size,Batche Size,Prediction Window
0,174.50271962483723,32474.656848515682,180.20726080964573,26.864116673241888,26.864116673241888,21.039688249067826,979.7300605414123,31.300639938209127,6.220803911270683,1.454508591281699,40,0.2,80,120,7,70,1
0,124.6444184366862,18812.04645704905,137.15701388207987,18.965462060778645,18.965462060778645,23.601617806174538,959.4258745930346,30.974600475115647,7.360583828371965,-2.100033799442522,40,0.2,80,120,7,70,1
0,106.85667805989583,14693.872415885491,121.21828416491256,16.538502836841754,15.188149723550278,17.971460599032316,611.1979582137677,24.722418130388615,5.644158650547224,-1.8617260330267142,40,0.2,80,120,7,70,1
0,99.98243855794271,15753.003502187203,125.51096964882075,15.728255160722698,15.718478778568725,18.958186083706945,686.2624233844566,26.196610914094528,5.959214235788782,-0.30350292529629125,40,0.2,80,120,7,70,1
0,78.89302052815756,12728.911533657723,112.82247796276114,12.498977867770934,11.97836730409386,19.455580416592685,679.4026807897307,26.065354031544068,6.177425183985099,0.12247322923612373,40,0.2,80,120,7,70,1
0,71.53136037190755,9747.268050590681,98.72825355788828,12.60381263261846,12.60381263261846,24.13954969232732,986.1638934473997,31.40324654311079,8.118934513974887,0.1615818511776281,40,0.2,80,120,7,70,1
0,28.561313273111985,2574.2316608245847,50.736886589783815,5.469657746178087,4.6172225345058715,20.3087036410245,799.5389797365712,28.27612030913313,6.51387904418881,0.671942136217308,40,0.2,80,120,7,70,1
0,32.774101460774745,1314.4242447356314,36.2549892392155,7.309451744617514,7.309451744617514,21.090615886341443,874.7032003029598,29.575381659464004,7.129029898643231,-1.20541483338847,40,0.2,80,120,7,70,1
0,43.935565287272134,2214.4488176184354,47.05793044342723,9.951985373805273,9.951985373805273,22.873920225663618,974.1553813080097,31.2114623385065,7.60422016905494,-0.953859646202679,40,0.2,80,120,7,70,1
0,17.21038391113281,377.39505237312244,19.42665829145925,4.046476555388393,-3.4083938854962263,23.624551911787552,966.6086391719233,31.0903303162241,7.917359616373669,-0.22964814744956338,40,0.2,80,120,7,70,1
0,20.633951212565115,714.7063872899092,26.73399310409706,4.800336752171406,0.7515225635197404,21.77859578912908,878.0164758777631,29.631342795724986,7.442042431202765,-2.319882498878394,40,0.2,80,120,7,70,1
0,24.94058044433594,1006.3937498096889,31.723709584625958,5.842088293029483,5.761636803610626,25.635023817582567,1216.4904281834251,34.87822283579577,8.855310079596022,-3.6753093274604844,40,0.2,80,120,7,70,1
0,31.206432189941406,1450.567300879257,38.0863138263505,7.482534992446431,3.0686111230300037,21.321159716519443,890.484819283927,29.840992263728882,7.286691464277582,-0.4989707148467194,40,0.2,80,120,7,70,1
0,25.147999165852866,941.0408898176445,30.67638977809554,6.047919044046375,4.757949015309255,21.403280813043768,887.9499192770525,29.798488540143314,7.170637629199603,1.3175018720879392,40,0.2,80,120,7,70,1
0,40.65276285807292,2668.8675755870736,51.661083763187484,9.844159451801087,7.01136881894908,21.20093710465865,915.9951546117398,30.265411852670034,7.132458257607545,-0.9334911640295849,40,0.2,80,120,7,70,1
0,43.05274485270182,2750.5639914902326,52.44581958068949,10.766517231613207,-2.946622541019022,25.519333454478875,1122.3384511258866,33.50132014004652,8.809680079755818,-1.3825978456855772,40,0.2,80,120,7,70,1
0,40.425981547037765,2715.685631217316,52.1122407042464,10.339523942130318,-9.41241697678376,23.358098373413085,947.162139738639,30.775999410882484,8.051227967367451,0.6245947339291583,40,0.2,80,120,7,70,1
0,30.339852091471357,1599.9354783573078,39.99919347133524,7.544507911619375,5.103534838930081,22.735560857599435,947.0796483477155,30.774659191414543,7.797905562242204,-1.6627636752789092,40,0.2,80,120,7,70,1
0,24.512679850260422,931.0310951123698,30.51280215110323,5.870046705260574,0.1535413099033683,23.7253531924161,1026.180726943496,32.03405573672332,8.284562374015161,-3.6347243464065233,40,0.2,80,120,7,70,1
0,121.85011271158854,17819.59699342214,133.49006327596874,28.441375196139063,28.441375196139063,26.463981732455167,1226.605001960887,35.022921094061914,9.00684170152301,-2.4120160252994003,40,0.2,80,120,7,70,1
