Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs; Batche Size; Prediction Window
0;77.1128476;12741.11815;112.8765615;13.55516874;13.55516874;20.22323246;798.0327994;28.24947432;6.461704555;1.917187211;40;0.2;200;120;40;1
0;75.42159749;13000.32932;114.0189867;13.11881469;13.11881469;19.01846745;780.9682703;27.94580953;5.970134606;1.249545682;40;0.2;200;120;40;5
0;79.86580729;13831.97717;117.6094264;13.99878522;13.99878522;20.43134431;796.7982076;28.22761427;6.648710112;-1.30970662;40;0.2;200;120;40;10
0;83.78297089;15836.67365;125.8438463;14.60215984;14.60215984;19.99702529;775.8377881;27.85386487;6.385909535;0.740382429;40;0.2;200;120;40;30
0;21.21007284;668.8579585;25.86228835;5.030583335;4.389189085;21.59238752;892.2707139;29.87090079;7.505397906;-1.998156275;40;0.2;200;120;40;1
0;32.63388479;1403.36209;37.46147474;7.722196183;4.239145742;19.98253178;822.9876356;28.68776108;6.715957038;0.121029526;40;0.2;200;120;40;5
0;34.25278798;1533.21224;39.15625416;8.162281381;5.231533162;21.64233243;934.1937807;30.56458376;7.286496724;0.427063416;40;0.2;200;120;40;10
0;19.20357005;604.9298773;24.59532226;4.513656524;2.545232759;22.61792101;977.8068455;31.26990319;7.893417392;-1.54043382;40;0.2;200;120;40;30
0;45.24875753;3241.991707;56.93849056;10.60673631;8.614148369;24.2095452;1081.032424;32.87905752;8.223674211;-0.488628464;40;0.2;200;120;40;1
0;54.69341441;3990.672179;63.17176726;12.89967523;12.89967523;22.25695269;950.8853518;30.83642897;7.615379769;-0.150354755;40;0.2;200;120;40;5
0;46.19329183;2890.722828;53.76544269;11.04760091;10.77263844;24.27337494;995.9654312;31.55891999;8.464636858;0.061532241;40;0.2;200;120;40;10
0;128.1039196;18625.51218;136.4753171;31.11659764;31.11659764;23.47813313;1070.227962;32.71433879;8.221917585;-0.38966358;40;0.2;200;120;40;30
0;83.9321404;9315.88812;96.51884852;22.42856744;22.42856744;22.24017008;925.7170974;30.42559938;7.565363435;-3.710775382;40;0.2;200;120;40;1
0;97.14756297;12063.73144;109.8350192;26.11272815;26.11272815;19.62299384;687.7085932;26.22419862;6.672336599;-0.858470425;40;0.2;200;120;40;5
0;100.2746356;12948.85611;113.7930407;27.02701395;27.02701395;22.09322162;883.8497233;29.72961021;7.453758219;-1.745690902;40;0.2;200;120;40;10
0;82.7581251;9369.695323;96.79718654;21.99139218;21.99139218;20.9001476;829.4618306;28.800379;7.360410095;-4.178225443;40;0.2;200;120;40;30
0;53.84258809;3275.442722;57.23148366;23.27062415;-23.27062415;23.85216296;1091.025165;33.03067007;7.00547782;-1.254320358;40;0.2;200;120;40;1
0;74.55918152;5835.036022;76.38740748;32.00341517;-32.00341517;24.96192739;1056.716995;32.50718374;7.666565707;-4.818208877;40;0.2;200;120;40;5
0;66.76407501;4648.396815;68.17915235;28.71020282;-28.71020282;24.74862464;1052.944229;32.44910213;7.479715234;-1.849937136;40;0.2;200;120;40;10
0;38.22938365;1649.601067;40.6152812;16.44092495;-16.44092495;24.29677944;1012.429827;31.81870248;7.430917603;-2.722784327;40;0.2;200;120;40;30
1;63.93034587;10610.30247;103.0063225;10.91129178;10.52780066;21.56722926;870.8772042;29.51062866;7.083824873;-2.484705948;20;0.6;300;170;20;1
1;68.75762085;11870.16313;108.9502783;11.79834482;11.50801581;19.03092358;696.5413973;26.39207073;6.252954687;-1.211451211;20;0.6;300;170;20;5
1;77.95736877;11634.55966;107.863616;13.9703027;13.86282502;19.47422491;727.9916211;26.98131985;6.432788942;-1.256896583;20;0.6;300;170;20;10
1;90.98781413;14440.6081;120.1690813;16.52070956;16.42495954;19.23210226;707.7244062;26.60309016;6.284333725;-1.380956842;20;0.6;300;170;20;30
1;50.03199361;2848.856036;53.37467598;11.92155638;11.89836336;22.95868902;839.8974053;28.98098351;7.820972476;-1.658951263;20;0.6;300;170;20;1
1;38.26220123;1726.804132;41.55483283;9.119240734;8.833222787;20.64972748;737.3023468;27.15331189;6.924567168;-0.654288626;20;0.6;300;170;20;5
1;40.00012899;1838.837262;42.88166581;9.521020134;9.168617275;21.51622614;892.0061266;29.86647161;7.165176715;0.899265109;20;0.6;300;170;20;10
1;10.14950053;180.551601;13.4369491;2.392135502;1.332950067;23.53451106;955.8826897;30.91735257;8.038905975;-2.166123163;20;0.6;300;170;20;30
1;28.7107604;1335.700682;36.54723904;7.388801816;-6.782694134;22.63908663;852.5031897;29.19765726;7.663280185;-1.58375501;20;0.6;300;170;20;1
1;32.16324076;1466.794103;38.29874806;7.634007423;5.148417848;23.14557842;862.8262472;29.37390419;7.862692503;-1.201466662;20;0.6;300;170;20;5
1;25.86788228;923.1396018;30.3832125;6.420143156;-1.618851604;24.08865532;990.8659908;31.47802393;8.112949088;-0.666822927;20;0.6;300;170;20;10
1;151.5191601;24457.80091;156.3899003;36.87224695;36.87224695;23.29732546;970.6203548;31.15478061;7.966602888;-0.218649571;20;0.6;300;170;20;30
1;94.34628164;13070.31937;114.3254974;24.9905114;23.62002974;22.14543583;843.4411968;29.0420591;7.21457224;3.080738975;20;0.6;300;170;20;1
1;89.10630498;11973.86134;109.4251403;23.46937515;21.95274802;20.34649388;735.8666;27.12686123;6.456329463;1.399903321;20;0.6;300;170;20;5
1;87.14474559;11180.1896;105.7364157;23.04010401;20.6732164;22.10521939;775.7503134;27.85229458;7.169221012;-0.512387666;20;0.6;300;170;20;10
1;75.65010722;8650.371862;93.00737531;19.90577772;18.50767126;20.98933326;764.0489756;27.64143585;7.051855314;0.222528377;20;0.6;300;170;20;30
1;25.44228999;893.2525654;29.88733119;11.02264867;-10.85021911;29.41083409;1768.254419;42.05061735;7.882500386;1.831000768;20;0.6;300;170;20;1
1;9.27539388;132.7078483;11.51988925;4.036920968;-3.422486829;26.92445926;1319.470743;36.32451986;7.44995534;1.899992667;20;0.6;300;170;20;5
1;10.72981959;181.5673058;13.4746913;4.700873388;-3.865860344;24.48645915;1021.669631;31.96356725;6.983019166;1.058911964;20;0.6;300;170;20;10
1;43.64077026;2162.051714;46.49786784;18.59937356;-18.58419296;26.39030056;1180.7833;34.36252756;7.67619601;2.245861478;20;0.6;300;170;20;30
2;62.42522654;10750.73827;103.685767;10.53721591;10.45768464;18.42188241;635.6175716;25.21145715;6.045976937;-0.611330524;40;0.7;100;10;50;1
2;76.87072316;12664.14582;112.5350871;13.49976377;13.49976377;23.7306235;1054.289629;32.46982644;7.514840134;5.361851342;40;0.7;100;10;50;5
2;102.3118776;17328.16604;131.6364921;18.68180826;18.68180826;25.21691072;1146.707419;33.86306866;7.652283913;4.119655584;40;0.7;100;10;50;10
2;70.01285604;11114.20752;105.4239419;12.23228544;6.163575304;22.79689038;900.7823885;30.01303698;7.172982028;-1.623586356;40;0.7;100;10;50;30
2;31.55024943;1973.894808;44.42853596;7.407643884;7.407643884;23.70353668;1010.449974;31.78757577;7.861625917;3.65563181;40;0.7;100;10;50;1
2;58.76814087;4128.708579;64.25502765;13.89733581;13.89733581;24.97925259;1173.910307;34.2623745;8.109468874;5.049342141;40;0.7;100;10;50;5
2;25.16144124;1056.24453;32.49991584;5.910279489;5.910279489;21.82302178;793.4598381;28.16841916;7.498434775;0.380640955;40;0.7;100;10;50;10
2;11.57451935;199.8318372;14.13618892;2.75032391;-0.382169321;22.13307025;824.6309819;28.71638873;7.906749356;-4.02759041;40;0.7;100;10;50;30
2;44.3795872;3010.561192;54.8685811;10.34919796;10.13598455;21.2259235;838.2513188;28.95257016;7.316887757;1.00546326;40;0.7;100;10;50;1
2;67.04105998;5954.257656;77.16383645;15.78531687;15.78531687;22.83605544;989.5837852;31.45765066;8.145479451;-4.118171087;40;0.7;100;10;50;5
2;93.00633199;9918.91065;99.59372796;22.20739719;22.20739719;23.70014503;994.4673377;31.5351762;8.300554155;1.659630174;40;0.7;100;10;50;10
2;154.818447;24938.05336;157.917869;37.7925072;37.7925072;21.67115378;909.1381832;30.1519184;7.770762093;-2.653002306;40;0.7;100;10;50;30
2;83.16707616;9110.615308;95.44954326;22.19423262;22.19423262;22.58299043;823.6566117;28.69941832;8.002682256;-4.505161536;40;0.7;100;10;50;1
2;95.79238032;11844.26147;108.8313442;25.68056646;25.68056646;25.14003929;1037.722301;32.21369741;8.65073141;-2.845032546;40;0.7;100;10;50;5
2;106.7610787;14039.11795;118.4867839;28.92968256;28.92968256;24.67437424;960.6695416;30.99466957;8.407848771;0.116020467;40;0.7;100;10;50;10
2;87.19429326;9769.823808;98.84241907;23.42055947;23.42055947;19.88895074;687.4160717;26.2186207;7.081742348;0.377851989;40;0.7;100;10;50;30
2;32.9847612;1446.967742;38.03902919;14.4172712;-14.24290303;22.72754105;991.9045605;31.49451636;6.592223527;2.828045735;40;0.7;100;10;50;1
2;27.56923971;1017.518769;31.89857001;12.05353864;-11.83479759;22.88082578;835.3404261;28.90225642;7.155005088;1.854057702;40;0.7;100;10;50;5
2;57.03849467;3510.908525;59.25291997;24.59801497;-24.59801497;23.46549233;943.3273965;30.71363535;7.449015855;0.568199031;40;0.7;100;10;50;10
2;56.54892761;3534.514217;59.4517806;24.4501433;-24.4501433;40.53560877;2529.508913;50.29422345;13.91072897;-12.9601159;40;0.7;100;10;50;30
3;91.47862417;14644.29683;121.0136225;16.58987399;16.58987399;9.716830851;177.9216596;13.33872781;2.963892899;1.650253685;30;0.6;600;50;60;1
3;92.92348043;16154.23192;127.0992994;16.6922375;16.6922375;11.55090071;220.2364023;14.84036395;3.694337204;3.022084812;30;0.6;600;50;60;5
3;102.0848345;17015.19973;130.4423234;18.69543723;18.69543723;9.400668979;152.3976412;12.34494395;3.022306953;-0.268524928;30;0.6;600;50;60;10
